일련번호,시도,시군구,읍면동,리,구분,번,지
82801,경기도,남양주시,진접읍,연평리,일반,114,1
82802,경상남도,함안군,군북면,월촌리,산,87,
82803,경상북도,칠곡군,기산면,영리,일반,331,
82804,전라남도,순천시,외서면,신덕리,일반,473,2
82805,충청남도,아산시,둔포면,둔포리,일반,112,8
82806,경상남도,창원시 진해구,두동,,일반,1226,
82807,경기도,안산시 단원구,초지동,,일반,97,
82808,충청북도,제천시,송학면,입석리,일반,523,44
82809,경상남도,고성군,삼산면,병산리,일반,503,
82810,제주특별자치도,서귀포시,표선면,가시리,일반,1256,
82811,경기도,광주시,문형동,,일반,509,4
82812,충청북도,청주시 흥덕구,오송읍,오송리,일반,276,102
82813,경기도,이천시,부발읍,수정리,일반,112,4
82814,충청남도,천안시 서북구,성환읍,매주리,일반,332,36
82815,경기도,광주시,초월읍,도평리,일반,119,6
82816,충청남도,논산시,연무읍,양지리,일반,6,
82817,충청남도,태안군,남면,신온리,일반,697,134
82818,전라남도,영암군,시종면,봉소리,일반,1170,
82819,경기도,포천시,선단동,,일반,837,20
82820,인천광역시,부평구,청천동,,일반,400,14
82821,대구광역시,서구,중리동,,일반,1146,2
82822,충청북도,청주시 청원구,오창읍,양청리,일반,775,1
82823,경상북도,경주시,외동읍,녹동리,일반,68,
82824,경기도,양주시,남면,상수리,일반,242,1
82825,충청북도,청주시 흥덕구,오송읍,동평리,일반,373,3
82826,경상남도,함안군,칠서면,계내리,일반,196,14
82827,전라남도,광양시,옥룡면,추산리,일반,962,1
82828,경기도,광주시,고산동,,일반,634,7
82829,충청북도,충주시,금가면,잠병리,일반,5,3
82830,인천광역시,서구,원창동,,일반,154,5
82831,경상북도,경산시,진량읍,문천리,산,22,3
82832,경기도,파주시,문발동,,일반,538,2
82833,경상남도,창녕군,대합면,대동리,일반,755,3
82834,충청남도,아산시,둔포면,석곡리,일반,1663,
82835,전라남도,신안군,증도면,대초리,일반,26,27
82836,경상북도,영덕군,병곡면,영리,일반,296,
82837,전라남도,장성군,남면,월정리,일반,196,6
82838,경기도,광주시,양벌동,,일반,496,1
82839,충청남도,서산시,오남동,,일반,371,1
82840,경상북도,구미시,시미동,,산,2,
82841,인천광역시,남동구,논현동,,일반,33,66
82842,대전광역시,유성구,관평동,,일반,849,
82843,충청남도,금산군,제원면,수당리,일반,205,1
82844,충청북도,청주시 청원구,오창읍,구룡리,일반,423,1
82845,충청남도,천안시 동남구,풍세면,용정리,일반,363,11
82846,경기도,연천군,장남면,고랑포리,일반,888,
82847,경기도,연천군,미산면,광동리,일반,455,
82848,전라남도,영암군,삼호읍,동호리,일반,1040,
82849,충청남도,보령시,주포면,봉당리,일반,559,
82850,전라남도,영암군,삼호읍,용앙리,일반,1684,24
82851,경상남도,진주시,사봉면,사곡리,일반,1821,2
82852,경상북도,성주군,선남면,선원리,일반,448,
82853,경기도,안산시 단원구,성곡동,,일반,735,1
82854,경기도,화성시,향남읍,구문천리,일반,397,24
82855,경기도,광주시,추자동,,일반,282,4
82856,대전광역시,유성구,궁동,,일반,413,3
82857,광주광역시,광산구,월계동,,일반,846,4
82858,전라남도,영암군,삼호읍,나불리,일반,336,17
82859,충청북도,청주시 흥덕구,오송읍,서평리,일반,225,3
82860,경기도,안산시 단원구,성곡동,,일반,734,3
82861,경상북도,경산시,자인면,일언리,일반,45,1
82862,대구광역시,북구,노원동3가,,일반,261,5
82863,충청북도,증평군,증평읍,미암리,일반,413,1
82864,경상북도,고령군,성산면,삼대리,일반,427,4
82865,경상남도,창녕군,대합면,대동리,일반,1076,1
82866,전라남도,광양시,태인동,,일반,241,1
82867,전라남도,광양시,태인동,,일반,1492,
82868,인천광역시,미추홀구,도화동,,일반,956,5
82869,경기도,포천시,가산면,우금리,일반,611,6
82870,경상북도,문경시,유곡동,,일반,402,1
82871,전라남도,무안군,운남면,연리,일반,1531,18
82872,경상북도,영양군,청기면,행화리,산,21,
82873,경상북도,봉화군,소천면,남회룡리,일반,424,
82874,경기도,용인시 처인구,원삼면,가재월리,일반,503,2
82875,충청남도,예산군,고덕면,오추리,일반,251,4
82876,울산광역시,울주군,온산읍,덕신리,일반,1349,10
82877,충청북도,충주시,대소원면,영평리,일반,813,
82878,경상북도,고령군,성산면,박곡리,일반,91,
82879,충청북도,음성군,대소면,수태리,일반,18,3
82880,충청남도,공주시,이인면,만수리,일반,125,
82881,경기도,평택시,고덕면,동청리,일반,347,78
82882,경기도,양주시,은현면,봉암리,일반,415,53
82883,경기도,오산시,가장동,,일반,397,2
82884,경상북도,성주군,초전면,용봉리,일반,1094,127
82885,경상남도,창원시 의창구,팔용동,,일반,6,6
82886,부산광역시,강서구,명지동,,일반,3239,10
82887,울산광역시,남구,성암동,,일반,479,3
82888,경기도,양주시,은현면,선암리,일반,91,1
82889,충청남도,서산시,부석면,간월도리,일반,166,72
82890,경기도,포천시,이동면,연곡리,일반,591,2
82891,충청남도,천안시 서북구,직산읍,삼은리,일반,13,
82892,전라남도,보성군,조성면,용전리,일반,172,
82893,경상남도,거창군,가조면,석강리,산,146,4
82894,인천광역시,서구,원창동,,일반,381,134
82895,대구광역시,달성군,하빈면,하산리,일반,1130,33
82896,충청북도,청주시 흥덕구,오송읍,서평리,일반,331,1
82897,울산광역시,울주군,온산읍,덕신리,일반,1339,14
82898,경상남도,창녕군,대합면,대동리,일반,817,1
82899,경상남도,함안군,칠북면,화천리,일반,734,1
